playerId,snapshot_season,snapshot_round,player_name,position,teamNickname,cba,cba_prop,cba_team,ki,ki_team,ki_po,ki_po_prop,ki_prop,rc,rc_team,rc_prop
CD_I1026166,2025,1,Madeleine Scanlon,DEF,Freo,0,0,14,0,6,0,,0,0,61,0
CD_I1026170,2025,1,Mikayla Western,FWD,Eagles,0,0,11,0,8,0,,0,0,51,0
CD_I1026218,2025,1,Emmelie Fiedler,RUC,St Kilda,0,0,11,0,7,0,,0,0,54,0
CD_I1026227,2025,1,Julia Teakle,FWD,Power,0,0,14,0,4,0,,0,0,61,0
CD_I1026263,2025,1,Taya Chambers,DEF,Bombers,0,0,20,0,10,0,,0,0,55,0
CD_I1026294,2025,1,Ariana Hetherington,FWD,Kangaroos,2,13.3333333333333,15,0,3,0,,0,19,62,30.6451612903226
CD_I1026320,2025,1,Kaitlyn Srhoj,MID,GIANTS,13,65,20,0,7,0,,0,0,54,0
CD_I1026372,2025,1,Molly O'Hehir,MID,Demons,0,0,14,0,7,0,,0,0,55,0
CD_I1026384,2025,1,Indi Strom,DEF,Freo,3,21.4285714285714,14,0,6,0,,0,4,61,6.55737704918033
CD_I1026395,2025,1,Jess Verbrugge,MID,Bombers,0,0,20,0,10,0,,0,0,55,0
CD_I1026444,2025,1,Amy Mulholland,FWD,Freo,0,0,14,0,6,0,,0,0,61,0
CD_I1026531,2025,1,Charli Wicksteed,MID,Richmond,0,0,16,0,10,0,,0,0,62,0
CD_I1026929,2025,1,Lucy Wales,RUC,Hawks,7,70,10,0,11,0,,0,33,56,58.9285714285714
